epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48027,0.61127,2.9117,1.06813,0.00429,1,0.67901,0.65429,0.2826,2.70985,0.86047,0.00013336,0.00013336,0.00013336
2,9.27949,0.46722,2.14128,0.94598,0.00345,1,0.66302,0.63041,0.32626,2.20157,0.86526,0.000280584,0.000280584,0.000280584
3,12.9462,0.52788,1.65156,1.01395,0.00331,1,0.84353,0.76099,0.4533,2.18508,0.9223,0.000424838,0.000424838,0.000424838
4,16.5726,0.596,1.33012,1.00594,0.97833,0.71718,0.95872,0.87953,0.4684,1.58644,0.93688,0.000566122,0.000566122,0.000566122
5,19.8044,0.6209,1.34184,1.00357,0.75175,0.91667,0.96746,0.81259,0.62971,1.51458,1.0449,0.000704434,0.000704434,0.000704434
6,23.0759,0.53404,1.24186,0.97657,0.93027,0.8731,0.97514,0.84434,0.54224,1.28785,0.98057,0.000839776,0.000839776,0.000839776
7,26.5013,0.60274,1.2446,0.98715,0.67702,1,0.995,0.91357,0.46102,1.22491,0.92395,0.000972148,0.000972148,0.000972148
8,29.6463,0.51233,1.19791,0.94751,0.91763,0.94444,0.9895,0.89141,0.47169,1.00325,0.98314,0.00110155,0.00110155,0.00110155
9,32.8921,0.5221,1.0439,0.93061,0.99298,0.9936,0.995,0.90028,0.47436,0.94004,0.92399,0.00122798,0.00122798,0.00122798
10,36.0576,0.55304,1.02181,0.91569,0.98948,0.99662,0.995,0.91057,0.42229,0.88446,0.88883,0.00135144,0.00135144,0.00135144
11,39.2397,0.49315,1.06973,0.93204,0.9585,1,0.995,0.92686,0.41669,0.89983,0.88755,0.00147193,0.00147193,0.00147193
12,42.3221,0.5202,1.02828,0.91227,0.85608,0.5,0.48567,0.427,0.601,1.9319,0.97538,0.00148546,0.00148546,0.00148546
13,45.4337,0.58277,1.18078,0.94467,0.78218,0.77607,0.96833,0.73585,0.69534,1.2348,1.00664,0.00146896,0.00146896,0.00146896
14,48.4357,0.49664,1.07904,0.93975,0.7446,0.856,0.975,0.7469,0.61578,1.63658,0.97899,0.00145246,0.00145246,0.00145246
15,51.4731,0.57828,1.10866,0.98519,0.61668,0.6119,0.81862,0.73287,0.49838,3.03111,0.90515,0.00143595,0.00143595,0.00143595
16,54.5764,0.57086,1.11664,0.98315,0.60959,0.94444,0.98125,0.8936,0.41178,1.9761,0.88128,0.00141945,0.00141945,0.00141945
17,57.7914,0.54027,0.96881,0.97754,0.98593,1,0.995,0.89067,0.48859,0.93805,0.91901,0.00140295,0.00140295,0.00140295
18,60.869,0.46442,1.0307,0.88824,0.92355,0.92075,0.995,0.88273,0.50325,1.14578,0.92859,0.00138644,0.00138644,0.00138644
19,63.8848,0.50037,0.95169,0.92084,0.87506,0.99048,0.995,0.9087,0.41541,0.86733,0.88685,0.00136994,0.00136994,0.00136994
20,66.8272,0.49212,0.86387,0.92478,0.98675,1,0.995,0.90425,0.45382,0.73693,0.90593,0.00135344,0.00135344,0.00135344
21,69.9592,0.51468,0.82775,0.93919,0.97981,1,0.995,0.91247,0.42149,0.71689,0.89947,0.00133693,0.00133693,0.00133693
22,73.1455,0.51704,0.82037,0.9493,0.97662,1,0.995,0.92998,0.36437,0.67644,0.86608,0.00132043,0.00132043,0.00132043
23,76.328,0.50502,0.7895,0.92234,0.97807,1,0.995,0.92502,0.39093,0.59292,0.86661,0.00130393,0.00130393,0.00130393
24,79.5563,0.49315,0.86584,0.90769,0.9917,1,0.995,0.90885,0.43532,0.5938,0.89029,0.00128742,0.00128742,0.00128742
25,82.8154,0.46991,0.79024,0.91917,0.9914,1,0.995,0.93484,0.36904,0.5973,0.86907,0.00127092,0.00127092,0.00127092
26,85.963,0.49574,0.79113,0.94988,0.97837,1,0.995,0.95799,0.33544,0.56208,0.85378,0.00125442,0.00125442,0.00125442
27,89.0768,0.50593,0.74857,0.94025,0.96631,0.99762,0.995,0.94708,0.33384,0.63158,0.84791,0.00123791,0.00123791,0.00123791
28,92.1166,0.4704,0.76019,0.90549,0.92705,0.99164,0.995,0.96308,0.33561,0.69034,0.84835,0.00122141,0.00122141,0.00122141
29,95.0727,0.45366,0.82758,0.96855,0.91259,0.96863,0.995,0.94059,0.32591,0.69591,0.84446,0.00120491,0.00120491,0.00120491
30,98.1704,0.42158,0.71246,0.89207,0.87741,0.90217,0.963,0.95629,0.2957,0.81085,0.83843,0.0011884,0.0011884,0.0011884
31,101.142,0.42664,0.69692,0.90289,0.87694,0.9487,0.995,0.95813,0.30667,0.69748,0.85118,0.0011719,0.0011719,0.0011719
32,104.212,0.45888,0.70084,0.87365,0.99299,1,0.995,0.95493,0.36303,0.47066,0.88721,0.0011554,0.0011554,0.0011554
